name,id,popularity,followers,genres,spotify_url
BSS (AMS),6ZNNn6WWgGY5JNRGleeohH,15,1339,,https://open.spotify.com/artist/6ZNNn6WWgGY5JNRGleeohH
Byron Yeates,4Pt24uijuBP8PsTmE62liN,17,1606,"acid house, hard house",https://open.spotify.com/artist/4Pt24uijuBP8PsTmE62liN
DJ Fuckoff,47fPXXrqnkQcaQ951UA3cm,34,18044,miami bass,https://open.spotify.com/artist/47fPXXrqnkQcaQ951UA3cm
Maey,060Zp8xagzHnDjKQ7cRDhQ,15,351,,https://open.spotify.com/artist/060Zp8xagzHnDjKQ7cRDhQ
The Kinks,1SQRv42e4PjEYfPhS0Tk9E,66,2743333,"proto-punk, baroque pop",https://open.spotify.com/artist/1SQRv42e4PjEYfPhS0Tk9E
Rod Wave,45TgXXqMDdF8BkjA83OM7z,79,9060347,,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z
Sterac,2QFnCeEbTqsb0YUYpFl08v,17,9777,"dub techno, techno, minimal techno",https://open.spotify.com/artist/2QFnCeEbTqsb0YUYpFl08v
Benefits,5nrO8X72nFeyu3sqYIkskQ,27,6934,spoken word,https://open.spotify.com/artist/5nrO8X72nFeyu3sqYIkskQ
CAIVA,0VevbPTec9d8audiahBL3f,40,9254,"techno, acid techno, hard techno, hard house",https://open.spotify.com/artist/0VevbPTec9d8audiahBL3f
Styn,0vTPGCQGp2pkRUCXF8gEXd,30,3783,"lo-fi beats, lo-fi",https://open.spotify.com/artist/0vTPGCQGp2pkRUCXF8gEXd
Curol,334DQtGwD8Ic96L1RjIhzX,40,11819,"afro house, latin house, tribal house",https://open.spotify.com/artist/334DQtGwD8Ic96L1RjIhzX
MRD,1Ph1cqOn7flTxltVNis2l9,45,13270,,https://open.spotify.com/artist/1Ph1cqOn7flTxltVNis2l9
QUIQUE,44IF5iKnm06JFziiLsHpyJ,36,9774,,https://open.spotify.com/artist/44IF5iKnm06JFziiLsHpyJ
Swimming Paul,5rEwPEAHq2q1yW3wF4av5s,61,49856,stutter house,https://open.spotify.com/artist/5rEwPEAHq2q1yW3wF4av5s
