Datum,Tmax,Tmin,Neerslag,Max Windstoot,Opmerkingen
3/17/2025,11.1 °C,3.5 °C,"0,0 mm",25.7 km/u,
3/16/2025,9.7 °C,-0.7 °C,"0,0 mm",20.9 km/u,
3/15/2025,8.5 °C,1.2 °C,"0,0 mm",27.4 km/u,
3/14/2025,7.8 °C,1.3 °C,"0,0 mm",25.7 km/u,
3/13/2025,8.4 °C,0.2 °C,"1,4 mm",25.7 km/u,
3/12/2025,8.4 °C,1.8 °C,"0,4 mm",25.7 km/u,
3/11/2025,8.6 °C,3.9 °C,"0,0 mm",30.6 km/u,
3/10/2025,15.8 °C,3.1 °C,"0,0 mm",19.3 km/u,
3/9/2025,18.9 °C,3.4 °C,"0,0 mm",11.3 km/u,
3/8/2025,21.4 °C,5.6 °C,"0,0 mm",17.7 km/u,
3/7/2025,19.5 °C,7.9 °C,"0,0 mm",17.7 km/u,
3/6/2025,18.2 °C,3.7 °C,"0,0 mm",16.1 km/u,
3/5/2025,14.3 °C,3.9 °C,"0,0 mm",29.0 km/u,
3/4/2025,13.8 °C,0.4 °C,"0,2 mm",17.7 km/u,
3/3/2025,11.7 °C,-0.6 °C,"0,2 mm",11.3 km/u,
3/2/2025,11.4 °C,-0.3 °C,"0,0 mm",11.3 km/u,
3/1/2025,9.7 °C,1.9 °C,"0,0 mm",19.3 km/u,
2/28/2025,7.7 °C,2.4 °C,"0,2 mm",27.4 km/u,
2/27/2025,7.7 °C,4.8 °C,"4,6 mm",24.1 km/u,
2/26/2025,10.8 °C,5.0 °C,"4,0 mm",35.4 km/u,
2/25/2025,11.2 °C,6.3 °C,"0,0 mm",22.5 km/u,
2/24/2025,12.0 °C,9.4 °C,"6,2 mm",35.4 km/u,
2/23/2025,14.8 °C,6.6 °C,"0,0 mm",30.6 km/u,
2/22/2025,13.8 °C,7.7 °C,"3,2 mm",25.7 km/u,
2/21/2025,17.6 °C,10.2 °C,"0,0 mm",30.6 km/u,
2/20/2025,10.9 °C,2.1 °C,"0,4 mm",24.1 km/u,
2/19/2025,5.2 °C,-1.6 °C,"0,0 mm",30.6 km/u,
2/18/2025,3.8 °C,-3.4 °C,"0,0 mm",24.1 km/u,
2/17/2025,3.2 °C,-3.3 °C,"0,0 mm",16.1 km/u,
2/16/2025,4.0 °C,-1.2 °C,"0,0 mm",22.5 km/u,
2/15/2025,4.2 °C,0.8 °C,"0,0 mm",9.7 km/u,
2/14/2025,4.4 °C,-2.4 °C,"0,0 mm",11.3 km/u,
2/13/2025,3.2 °C,-1.4 °C,"0,0 mm",22.5 km/u,
2/12/2025,4.5 °C,1.7 °C,"6,4 mm",9.7 km/u,
2/11/2025,4.1 °C,0.7 °C,"11,8 mm",27.4 km/u,
2/10/2025,3.1 °C,1.7 °C,"3,8 mm",30.6 km/u,
2/9/2025,5.4 °C,2.8 °C,"0,0 mm",20.9 km/u,
2/8/2025,7.4 °C,1.9 °C,"0,0 mm",22.5 km/u,
2/7/2025,4.5 °C,2.0 °C,"0,0 mm",27.4 km/u,
2/6/2025,8.3 °C,2.4 °C,"0,0 mm",22.5 km/u,
2/5/2025,9.9 °C,2.9 °C,"0,0 mm",24.1 km/u,
2/4/2025,5.6 °C,2.2 °C,"0,0 mm",27.4 km/u,
2/3/2025,7.3 °C,-0.7 °C,"0,2 mm",14.5 km/u,
2/2/2025,6.1 °C,-1.6 °C,"0,0 mm",11.3 km/u,
2/1/2025,7.9 °C,-0.7 °C,"0,4 mm",11.3 km/u,
1/31/2025,7.8 °C,1.5 °C,"0,2 mm",20.9 km/u,
1/30/2025,8.1 °C,3.7 °C,"0,2 mm",25.7 km/u,
1/29/2025,8.1 °C,5.3 °C,"3,0 mm",40.2 km/u,
1/28/2025,9.2 °C,6.1 °C,"3,4 mm",37.0 km/u,
1/27/2025,11.2 °C,5.9 °C,"7,6 mm",46.7 km/u,
1/26/2025,6.0 °C,2.7 °C,"4,0 mm",46.7 km/u,
1/25/2025,8.0 °C,3.0 °C,"0,8 mm",25.7 km/u,
1/24/2025,9.6 °C,4.9 °C,"6,0 mm",46.7 km/u,
1/23/2025,7.4 °C,4.5 °C,"3,4 mm",33.8 km/u,
1/22/2025,4.5 °C,-0.7 °C,"4,8 mm",9.7 km/u,
1/21/2025,1.1 °C,-0.4 °C,"0,0 mm",22.5 km/u,
1/20/2025,1.5 °C,-0.4 °C,"0,0 mm",19.3 km/u,
1/19/2025,0.1 °C,-1.0 °C,"0,0 mm",9.7 km/u,
1/18/2025,-0.3 °C,-1.9 °C,"0,0 mm",9.7 km/u,
1/17/2025,1.6 °C,-0.2 °C,"0,0 mm",16.1 km/u,
1/16/2025,7.1 °C,1.6 °C,"0,0 mm",14.5 km/u,
1/15/2025,8.2 °C,5.6 °C,"0,0 mm",8.0 km/u,
1/14/2025,7.7 °C,0.8 °C,"0,4 mm",29.0 km/u,
1/13/2025,5.2 °C,-0.1 °C,"0,0 mm",22.5 km/u,
1/12/2025,6.6 °C,1.3 °C,"0,2 mm",11.3 km/u,
1/11/2025,6.7 °C,-1.2 °C,"0,2 mm",24.1 km/u,
1/10/2025,5.3 °C,0.5 °C,"6,8 mm",27.4 km/u,
1/9/2025,6.9 °C,0.2 °C,"2,6 mm",33.8 km/u,
1/8/2025,5.7 °C,2.1 °C,"0,4 mm",32.2 km/u,
1/7/2025,5.9 °C,3.0 °C,"2,0 mm",40.2 km/u,
1/6/2025,12.1 °C,5.2 °C,"3,4 mm",62.8 km/u,
1/5/2025,11.7 °C,0.2 °C,"23,4 mm",41.8 km/u,
1/4/2025,4.0 °C,0.5 °C,"4,4 mm",20.9 km/u,
1/3/2025,5.8 °C,0.6 °C,"3,0 mm",46.7 km/u,
1/2/2025,6.7 °C,2.4 °C,"3,0 mm",30.6 km/u,
1/1/2025,9.4 °C,5.4 °C,"25,4 mm",62.8 km/u,
12/24/2024,7.2 °C,4.3 °C,"1,0 mm",20.9 km/u,data tot 17:33u
12/23/2024,8.7 °C,5.0 °C,"1,8 mm",51.5 km/u,
12/22/2024,9.8 °C,2.8 °C,"13,0 mm",48.3 km/u,
12/21/2024,10.8 °C,7.1 °C,"3,4 mm",53.1 km/u,
12/20/2024,8.0 °C,5.3 °C,"0,8 mm",46.7 km/u,
12/19/2024,13.0 °C,4.3 °C,"16,6 mm",51.5 km/u,
12/18/2024,13.6 °C,6.4 °C,"2,6 mm",51.5 km/u,
12/17/2024,10.3 °C,7.7 °C,"0,0 mm",32.2 km/u,
